ParName   Value   Gradient
MGparm[1]     0.384034 -1.17871e-05
MGparm[2]      20.3935  9.97892e-07
MGparm[3]          176  6.39828e-06
MGparm[4]      11.9941  1.32208e-05
MGparm[5]      3.87677  8.86261e-09
MGparm[6]      5.68263 -1.19342e-07
MGparm[7]      7.37753  3.31719e-08
MGparm[16]    -0.380967  9.62037e-06
MGparm[17]     0.108689  6.68318e-05
SR_parm[1]      8.29499  1.20205e-05
Q_parm[1]    -0.143796  2.66738e-06
Q_parm[2]     0.161013 -4.19707e-08
Q_parm[3]     -1.38244  2.17874e-06
Q_parm[4]     0.365361 -1.97138e-08
Q_parm[5]     -1.06553 -2.92662e-07
selparm[1]      86.8264  1.88211e-06
selparm[3]      7.06384 -5.19406e-06
selparm[7]      66.6454 -2.95418e-06
selparm[8]      4.96152 -3.02492e-07
selparm[9]      2.11103 -4.13976e-07
selparm[15]     -4.98561  1.78899e-06
selparm[19]     0.773922  9.17395e-08
selparm[20]      72.3926  3.86085e-07
selparm[22]      6.43981 -1.45302e-07
selparm[23]      10.0614  1.65502e-06
selparm[26]     -7.13431  9.64605e-07
selparm[30]     0.743455  3.08905e-07
selparm[31]      176.754  6.21695e-09
selparm[33]      8.48091 -5.27494e-07
selparm[35]     -4.02521  2.04321e-07
selparm[41]     0.599512  1.24701e-07
selparm[42]      2.32524 -3.77748e-07
selparm[43]      3.33023   8.9804e-08
selparm[44]       4.0003 -2.93761e-07
selparm[45]      11.1579  2.36193e-08
selparm[46]      4.99056  2.79199e-08
selparm[47]      13.2475 -5.59473e-08
selparm[48]      14.6649 -1.16089e-08
selparm[49]      13.9177   9.3002e-09
selparm[50]      3.47469   4.1844e-07
selparm[51]      3.65328  3.73592e-08
selparm[52]      3.43018  2.45356e-07
selparm[53]       2.9014  4.52428e-07
selparm[54]      2.82159  8.81904e-07
