ParName   Value   Gradient
MGparm[1]     0.449208  2.15827e-06
MGparm[2]      20.0821 -1.77539e-06
MGparm[3]      175.663  2.44607e-06
MGparm[4]      12.1407 -6.15757e-06
MGparm[5]      5.61009 -2.95656e-08
MGparm[6]      5.70274 -1.12396e-06
MGparm[7]      7.08412  1.80901e-07
MGparm[16]    -0.373076  -6.7119e-07
MGparm[17]     0.100981 -4.02467e-05
SR_parm[1]      8.90469 -7.43111e-06
Q_parm[1]    -0.403308 -3.23638e-06
Q_parm[2]     0.163264 -3.63615e-07
Q_parm[3]      -1.2524 -1.48995e-06
Q_parm[4]     0.365954    2.552e-07
Q_parm[5]    -0.934511  1.08774e-06
selparm[1]      94.1114 -4.50262e-07
selparm[3]      7.15331  1.95535e-06
selparm[7]      66.2144 -5.09372e-06
selparm[8]      4.87637  -1.1027e-06
selparm[9]      2.05182 -2.01206e-07
selparm[15]     -5.52193 -8.93169e-07
selparm[19]     0.743963  3.98403e-07
selparm[20]      76.1473 -5.21765e-08
selparm[22]      6.49771  3.24512e-07
selparm[23]      16.5483 -1.24738e-08
selparm[26]      -7.9747 -6.72234e-08
selparm[30]     0.698111 -1.69719e-07
selparm[31]      187.543  6.88772e-07
selparm[33]      8.47236 -2.91691e-06
selparm[35]     -4.79417  1.97343e-06
selparm[41]     0.606512 -8.28362e-08
selparm[42]      2.30033  1.55504e-07
selparm[43]      3.30395  -2.3739e-07
selparm[44]      3.96299  1.11997e-07
selparm[45]      11.0792 -9.66727e-08
selparm[46]      4.91241  2.90422e-08
selparm[47]      13.2419   6.8188e-08
selparm[48]      14.6405 -5.59018e-08
selparm[49]      13.8921  4.47567e-08
selparm[50]      3.45566  1.39182e-07
selparm[51]      3.62006  3.86182e-07
selparm[52]        3.405  -3.9736e-08
selparm[53]      2.88476  1.04782e-07
selparm[54]      2.81719  3.48148e-07
