ParName   Value   Gradient
MGparm[1]     0.470481  -3.9192e-06
MGparm[2]      19.7295 -5.22041e-06
MGparm[3]      177.665 -3.15289e-05
MGparm[4]      12.3536  2.27384e-05
MGparm[5]           10 -7.05062e-06
MGparm[6]      4.75084 -1.00167e-05
MGparm[7]      8.53573 -5.32959e-06
MGparm[16]    -0.388812   -5.833e-05
MGparm[17]    0.0719647  8.10479e-05
SR_parm[1]      9.41096 -4.87128e-05
Q_parm[1]    -0.781725  5.40035e-08
Q_parm[2]     0.165788 -8.77229e-06
Q_parm[3]     -1.72258 -1.31766e-05
Q_parm[4]     0.367588 -3.14122e-06
Q_parm[5]     -1.39842 -9.80759e-06
selparm[1]      94.5597   2.3005e-05
selparm[3]      7.10843 -8.10267e-05
selparm[7]       66.722 -9.45053e-05
selparm[8]      5.11648 -9.36223e-06
selparm[9]      2.10042  -6.1609e-06
selparm[15]     -6.06834  1.86481e-05
selparm[19]     0.705482  -3.9186e-06
selparm[20]      77.0444  -5.7404e-06
selparm[22]      6.48765   1.0412e-05
selparm[23]      18.7164  2.91042e-08
selparm[26]      -8.3989 -2.05586e-05
selparm[30]     0.671044 -3.19467e-06
selparm[31]      182.254  3.29324e-05
selparm[33]      8.38847 -7.32348e-05
selparm[35]      -4.8917  3.97395e-05
selparm[41]     0.585377 -8.27458e-06
selparm[42]      4.99958  1.82973e-06
selparm[43]      3.67294  2.03725e-05
selparm[45]      4.99997  1.36954e-05
selparm[46]      4.49007 -6.88055e-06
selparm[47]       2.3726  9.03908e-05
selparm[48]      3.49471 -1.31692e-05
selparm[49]      4.30775  3.36977e-06
selparm[50]      11.6437  1.19376e-07
selparm[51]      6.12234  1.13976e-05
selparm[52]      13.3508 -9.17417e-08
selparm[53]      14.9906  4.12573e-07
selparm[54]      14.0002 -2.77881e-06
selparm[55]      3.77828  6.03626e-06
selparm[56]      4.67866 -2.63435e-05
selparm[57]      4.07901  5.30304e-06
selparm[58]      3.22127  8.63583e-06
selparm[59]      2.89645  2.51059e-05
