ParName   Value   Gradient
MGparm[1]     0.455127 -1.52615e-05
MGparm[2]      16.8306 -7.40046e-08
MGparm[3]      200.375 -2.27173e-07
MGparm[4]     0.045846 -1.13158e-05
MGparm[15]    -0.231433 -2.38603e-05
MGparm[16]            1  2.37827e-06
SR_parm[1]      13.5282  7.72753e-06
Q_parm[3]           -7  3.50626e-06
Q_parm[4]     0.371021 -7.89336e-06
Q_parm[7]     -6.67086 -1.85122e-06
selparm[1]      95.7645  -1.6887e-07
selparm[3]      6.28687  8.59962e-07
selparm[4]      9.38237 -9.12211e-07
selparm[5]     -494.998  1.48793e-08
selparm[7]      80.0001  1.07294e-06
selparm[9]       6.9073 -2.46366e-06
selparm[10]      18.4859  3.61524e-07
selparm[11]     -494.998  1.22531e-08
selparm[13]      129.989  -2.7023e-06
selparm[15]      7.40914  1.35533e-05
selparm[16]      16.3204  1.78135e-07
selparm[17]     -3.37216 -2.00609e-05
