Year,CA (mt),OR (mt),WA (mt) ,Tribal (mt),Total (mt)
1916,78.3,0,0,0,78.3
1917,80.1,0,0,0,80.1
1918,101.2,0,0,0,101.2
1919,75.2,0,0,0,75.2
1920,122,0,0,0,122
1921,17.8,0,0,0,17.8
1922,30.8,0,0,0,30.8
1923,34.2,0,0,0,34.2
1924,33.4,0,0,0,33.4
1925,46.7,0,0,0,46.7
1926,59.3,0,0,0,59.3
1927,67.1,0,0,0,67.1
1928,116.7,0,0,0,116.7
1929,107.5,0,0,0,107.5
1930,70.8,0,0,0,70.8
1931,43.6,0,0,0,43.6
1932,73.3,0,0,0,73.3
1933,46.5,0,0,0,46.5
1934,57.4,0,0,0,57.4
1935,70.6,0,0,0,70.6
1936,87.7,0,0,0,87.7
1937,115.4,0,0,0,115.4
1938,99.4,0,0,0,99.4
1939,90.9,0,0,0,90.9
1940,60.3,5.3,0,0,65.7
1941,53.1,56.4,0,0,109.4
1942,27,34.4,0,0,61.4
1943,20.4,0.9,0,0,21.3
1944,7.8,1.6,0,0,9.5
1945,13.3,0.3,0,0,13.5
1946,17.1,1.8,0,0,18.9
1947,24.1,0,0,0,24.1
1948,30.7,5.7,0,0,36.3
1949,31.9,0,7.2,0,39.1
1950,32.2,2.1,2.1,0,36.4
1951,21.7,4.7,3.9,0,30.3
1952,39.1,0.1,7.8,0,46.9
1953,124.9,1.2,1.6,0,127.6
1954,38.8,2.3,1.2,0,42.4
1955,45.7,35.6,1.6,0,82.9
1956,40.4,2.6,3.1,0,46.1
1957,49.5,0,2.5,0,52
1958,38.8,0,0.2,0,38.9
1959,46.5,0,0.8,0,47.3
1960,39.2,0,0.7,0,39.8
1961,54.4,40.9,4.6,0,99.8
1962,44.4,27.9,5.2,0,77.6
1963,53.2,30.4,2.1,0,85.7
1964,49.9,28.3,2.7,0,80.9
1965,34.3,12.8,3.5,0,50.6
1966,36.4,20.1,0.6,0,57
1967,53.3,15.6,6.6,0,75.5
1968,55.3,45.4,8.8,0,109.5
1969,32.5,33.8,6.6,0,72.9
1970,16.3,11.9,0.1,0,28.2
1971,18.5,3.1,0,0,21.6
1972,33.5,2,0.1,0,35.6
1973,40.7,0.9,0,0,41.7
1974,21.9,5.9,0.1,0,27.8
1975,39.8,2,0,0,41.8
1976,20.7,31.3,0.2,0,52.2
1977,32.8,31.5,0.6,0,64.9
1978,67.7,77.3,4,0,149.1
1979,90.5,75.5,30.4,0,196.4
1980,17.6,34.1,5.2,0,56.9
1981,138,14.8,6.5,0,159.3
1982,78.3,5.2,14.6,0,98.1
1983,55.3,14.2,8.9,0,78.4
1984,26.2,4.9,1.6,0,32.7
1985,60.3,0.4,4.9,0,65.6
1986,27.2,1.6,8.9,0,37.8
1987,22.6,1.9,18.4,1,43.9
1988,15.3,0.3,10.9,1.2,27.6
1989,18.9,0.2,6.2,0,25.3
1990,25.1,0,9.6,0.1,34.9
1991,22.8,0.2,21.5,0.1,44.6
1992,24.6,0.3,11.2,0,36.1
1993,29,0.2,21,0.6,50.7
1994,27.7,2.5,20.5,0.1,50.7
1995,43,41.2,21.8,0.1,106
1996,146.7,138.5,22.8,0.1,308.1
1997,228.4,215.4,84,0.2,528
1998,120.5,51.4,22.7,0.2,194.9
1999,109.5,131.3,41.4,0.4,282.6
2000,69.4,193.6,97.7,0.3,361
2001,75.3,115.1,26.7,0.4,217.5
2002,34.7,102.8,70.8,4.8,213.1
2003,48.8,223,65.7,5.4,342.8
2004,45.2,105.9,98,4.6,253.8
2005,33.4,151.3,113.1,15.7,313.4
2006,102.4,206.6,66.2,24.9,400
2007,35.5,190.4,29.1,19.9,274.9
2008,46,280.1,36.8,3.2,366
2009,9.6,162,16.5,17.5,205.7
2010,1.2,157.5,25,12.5,196.2
2011,0.5,231.5,10,26.4,268.4
2012,6.8,216.3,5,41.6,269.6
2013,20.9,92.3,13,8.8,135
2014,41,286,16.8,28.6,372.4
2015,35.2,218.8,1,76.6,331.5
2016,15,317.5,1.2,77.8,411.5
2017,28,188,1.4,60.2,277.6
2018,23.8,115.8,2.4,30.6,172.6
